Analyte Code,Analyte Name,MIN_ANALYSIS_TIME,MAX_ANALYSIS_TIME,HOLDING_TIME,Method Code,Method Name,PURPOSE_TEXT
2981,"1,1,1-TRICHLOROETHANE",,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2430,BROMOCHLOROMETHANE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2954,DICHLOROACETONITRILE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2987,TETRACHLOROETHYLENE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2984,TRICHLOROETHYLENE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
2219,TRICHLOROACETONITRILE,,,,551,DBPS & CL2 SOLVENTS GC L/L ELECTRON CAPT,DET. OF CHLORINATION DISINFECTION BY-PRODUCTS & CHLORINATED SOLVENTS BY LIQUID-LIQUID EXTRACTION AND GAS CHROMATOGRAPHY
1008,CHLORINE DIOXIDE,,,,4500CLO2-D,DPD COLORIMETRIC METHOD,
1012,RESIDUAL CHLORINE,,,,4500CL-F,DPD TITRIMETRIC,
1006,CHLORAMINE,,,,4500CL-F,DPD TITRIMETRIC,
0999,CHLORINE,,,,4500CL-F,DPD TITRIMETRIC,
1016,CALCIUM,,,,3500CA-D,EDTA TITRIMETRIC,
1925,PH,,,,150.1,ELECTROMETRIC-INDIVIDUAL MEASUREMENT,
1026,BICARBONATE AS HCO3,0,0,0,150.1,ELECTROMETRIC-INDIVIDUAL MEASUREMENT,
1929,"ALKALINITY, CARBONATE",0,0,0,150.1,ELECTROMETRIC-INDIVIDUAL MEASUREMENT,
1925,PH,,,,150.2,ELECTROMETRIC-ONLINE MEASUREMENT,
1925,PH,,,,4500H-B,ELECTROMETRIC-ONLINE MEASUREMENT,
1925,PH,,,,D1293-84B,ELECTROMETRIC-ONLINE MEASUREMENT,
3014,E. COLI,,,30,COLISURE-PA,COLISURE - PRESENCE/ABSENCE,MILLIPORE
3100,COLIFORM (TCR),,,30,COLISURE-PA,COLISURE - PRESENCE/ABSENCE,MILLIPORE
3013,FECAL COLIFORM,,,30,9221E-5,EC MEDIUM - 5 TUBES,
3013,FECAL COLIFORM,,,30,9221E-10,EC MEDIUM - 10 TUBES,
3014,E. COLI,,,30,9221F-PA,EC MUG - PRESENCE/ABSENCE,FERMENTATION TUBE OR MEMBRANE FILTER
3100,COLIFORM (TCR),,,30,9222C,MEMBRANE FILTER - DELAYED,
3100,COLIFORM (TCR),,,30,9223B-10,COLILERT - 10 TUBES,IDEXX
3014,E. COLI,,,30,9223B-10,COLILERT - 10 TUBES,IDEXX
3100,COLIFORM (TCR),,,30,9223B-QT,COLILERT - QUANTITRAY,IDEXX
3014,E. COLI,,,30,9223B-QT,COLILERT - QUANTITRAY,IDEXX
3014,E. COLI,,,30,9221F-5,EC MUG - 5 TUBES,
3014,E. COLI,,,30,9221F-10,EC MUG - 10 TUBES,
3100,COLIFORM (TCR),,,30,COLISURE-5,COLISURE - 5 TUBES,MILLIPORE
3014,E. COLI,,,30,COLISURE-5,COLISURE - 5 TUBES,MILLIPORE
1024,CYANIDE,,,,4500CN-C,AMENABLE SPECTROPHOTOMETRIC,MANUAL DISTILLATION FOLLOWED BY: AMENABLE SPECTROPHOTOMETRIC
1024,CYANIDE,,,,D2036-91B,AMENABLE SPECTROPHOTOMETRIC,MANUAL DISTILLATION FOLLOWED BY: AMENABLE SPECTROPHOTOMETRIC
1016,CALCIUM,,,,D511-93B,ATOMIC ABSORPTION DIRECT ASPIRATION,
1030,LEAD,,,,D3559-90D,"ATOMIC ABSORPTION, FURNACE",
1075,"BERYLLIUM, TOTAL",,,,D3645-93B,"ATOMIC ABSORPTION, FURNACE",
1045,SELENIUM,,,,D3859-93B,"ATOMIC ABSORPTION, FURNACE",
1011,BROMATE,0,0,0,317.0,ION CHROMATOGRAPHY,
1927,"ALKALINITY, TOTAL",0,0,0,SM 2510 B,SPECIFIC CONDUCTANCE,
2046,CARBOFURAN,0,0,0,531.2,HPLC/FLUORESCENCE,
2036,OXAMYL,0,0,0,531.2,HPLC/FLUORESCENCE,
1026,BICARBONATE AS HCO3,0,0,0,SM 4500H+ B,PH,
1925,PH,0,0,0,SM 4500H+ B,PH,
1929,"ALKALINITY, CARBONATE",0,0,0,SM 4500H+ B,PH,
4030,RADIUM-228,0,0,0,904,SEQUENTIAL PRECIPITATION METHOD FOR RADI,
2063,"2,3,7,8-TCDD",0,0,0,1613B,"DIOXINS, TETRA- THRU OCTA- (CDDS) & FURA","USED TO DETERMINE 2,3,7,8-TETRACHLORO DIBENZO-P-DIOXIN (TCDD"
2040,PICLORAM,0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
2326,PENTACHLOROPHENOL,0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
2041,DINOSEB,0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
2031,DALAPON,0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
2105,"2,4-D",0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
2110,"2,4,5-TP",0,0,0,515.4,CHLORINATED ACIDS IN DW BY LL FAST GC/EC, DETERMINATION OF CHLORINATED ACIDS IN DRINKING WATER BY LIQUID-LIQUID MICROEXTRACTION DERIVATIZATION AND FAST GAS CHROM
1920,ODOR,0,0,0,2150B,ODOR,ODOR
1057,"RESIDUE, TOTAL, FILTERABLE",0,0,0,2540C,TDS,TDS
1930,TDS,0,0,0,2540C,TDS,TDS
1920,ODOR,0,0,0,140.1,ODOR,ODOR
1930,TDS,0,0,0,SM 2540C,TDS,TDS
1093,"PHOSPHORUS, TOTAL",0,0,0,SM 2540C,TDS,TDS
1930,TDS,0,0,0,160.1,"RESIDUE, FILTERABLE","RESIDUE, FILTERABLE"
1057,"RESIDUE, TOTAL, FILTERABLE",0,0,0,160.1,"RESIDUE, FILTERABLE","RESIDUE, FILTERABLE"
2036,OXAMYL,0,0,0,515.3,GAS CHROMATOGRAPHIC (GC) METHOD,"DETERMINATION OF THE LISTED CHLORINATED ACIDS IN DRINKING WATER, GROUND WATER, RAW SOURCE WATER AND WATER AT ANY INTER"
4030,RADIUM-228,0,0,0,904.0,SEQUENTIAL PRECIPITATION METHOD FOR RADI,
4004,RADON,0,0,0,913.0,LIQUID SCINTILLATION SPECTROPHOTOMETRIC,
4004,RADON,0,0,0,913.0-DRAFT,LIQUID SCINTILLATION SPECTROPHOTOMETRIC,
4008,URANIUM-235,0,0,0,HASL-300,RADIOCHEMICAL METHOD,
4009,URANIUM-238,0,0,0,HASL-300,RADIOCHEMICAL METHOD,
4007,URANIUM-234,0,0,0,HASL-300,RADIOCHEMICAL METHOD,
2032,DIQUAT,0,0,0,549.2,HIGH PERF LIQ CHROM-L/S EXTRACT- UV DETE,HIGH PERFORMANCE LIQUID CHROMATOGRAPHY-LIQUID/SOLID EXTRACTION- ULTRAVIOLET DETECTOR
4004,RADON,0,0,0,910.0,LUCAS CELL,
1916,"HARDNESS, CARBONATE",0,0,0,130.2,TITRIMETRIC,
2063,"2,3,7,8-TCDD",0,0,0,1316B,HIGH RES GCMS-CAPCOL- L/L EXTRACTION,CAPILLARY COLUMN-GAS CHROMATOGRAPHY-L/L EXTRACTION HIGH RES. MASS SPECTROSCOPY
4100,GROSS BETA PARTICLE ACTIVITY,0,0,0,SM 7110 B,SM 7110 B,
4002,"GROSS ALPHA, INCL. RADON & U",0,0,0,SM 7110 B,SM 7110 B,
1927,"ALKALINITY, TOTAL",0,0,0,SM 2320 B,SM 2320 B,ALKALINITY TOTAL - TOTAL & DISSOLVED
1024,CYANIDE,0,0,0,10-204-00-1X,MICRO DIST.,"CAN BE USED FOR CYANIDE, PHENOLICS, SULFIDES, TRITIATED WATER."
1005,ARSENIC,,,,D2972-93C,"ATOMIC ABSORPTION, FURNACE",
1074,"ANTIMONY, TOTAL",,,,D3697-92,"ATOMIC ABSORPTION, GASEOUS HYDRIDE",
1045,SELENIUM,,,,D3859-93A,"ATOMIC ABSORPTION, GASEOUS HYDRIDE",
1024,CYANIDE,,,,335.4,SPECTROPHOTOMETRIC SEMI-AUTOMATED,
1025,FLUORIDE,,,,4500F-D,"COLORIMETRIC SPADNS, WITH DISTILLATION",
1044,ORTHOPHOSPHATE,,,,I-2601-90,"COLORIMETRIC, AUTO; SEGMENTED","UNFILTERED, NO DIGESTION OR HYDROLYSIS, COLORIMETRIC, AUTO; SEGMENTED"
1049,SILICA,,,,I-2700-85,"COLORIMETRIC, AUTO; SEGMENTED","UNFILTERED, NO DIGESTION OR HYDROLYSIS, COLORIMETRIC, AUTO; SEGMENTED"
1064,CONDUCTIVITY @ 25 C UMHOS/CM,,,,D1125-91A,CONDUCTANCE @ 25C,
1016,CALCIUM,,,,D511-93A,EDTA TITRIMETRIC,
1044,ORTHOPHOSPHATE,,,,365.1,"COLORIMETRIC, AUTOMATED, ASCORBIC ACID",ASCORBIC ACID
1044,ORTHOPHOSPHATE,,,,4500P-F,"COLORIMETRIC, AUTOMATED, ASCORBIC ACID",ASCORBIC ACID
1044,ORTHOPHOSPHATE,,,,D4327-91,ION CHROMATOGRAPHY,
1041,NITRITE,,,,D4327-91,ION CHROMATOGRAPHY,
1040,NITRATE,,,,D4327-91,ION CHROMATOGRAPHY,
1025,FLUORIDE,,,,D4327-91,ION CHROMATOGRAPHY,
1038,NITRATE-NITRITE,,,,4500NO3-D,ION SELECTIVE ELECTRODE,
1040,NITRATE,,,,4500NO3-D,ION SELECTIVE ELECTRODE,
1041,NITRITE,,,,601,ION SELECTIVE ELECTRODE,
1040,NITRATE,,,,601,ION SELECTIVE ELECTRODE,
1035,MERCURY,,,,D3223-91,MANUAL COLD VAPOR TECHNIQUE,
1025,FLUORIDE,,,,D1179-93B,POTENTIOMETER ION SELECTIVE ELECTRODE,
1025,FLUORIDE,,,,4500F-C,POTENTIOMETER ION SELECTIVE ELECTRODE,
1038,NITRATE-NITRITE,,,,4500NO2-B,"SPECTROPHOTOMETRIC, MANUAL",MANUAL DISTILLATION FOLLOWED BY: SPECTROPHOTOMETRIC
1041,NITRITE,,,,4500NO2-B,"SPECTROPHOTOMETRIC, MANUAL",MANUAL DISTILLATION FOLLOWED BY: SPECTROPHOTOMETRIC
1024,CYANIDE,,,,D2036-91A,"SPECTROPHOTOMETRIC, MANUAL",MANUAL DISTILLATION FOLLOWED BY: SPECTROPHOTOMETRIC
1927,"ALKALINITY, TOTAL",,,,D1067-92B,TITRIMETRIC,
1094,ASBESTOS,,,,100.2,TRANSMISSION ELECTRON MICROSCOPY,
2041,DINOSEB,,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2110,"2,4,5-TP",,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2105,"2,4-D",,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2040,PICLORAM,,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2326,PENTACHLOROPHENOL,,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2440,DICAMBA,,,,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2031,DALAPON,0,0,0,515.2,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2041,DINOSEB,,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2110,"2,4,5-TP",,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2105,"2,4-D",,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2040,PICLORAM,,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2326,PENTACHLOROPHENOL,,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2440,DICAMBA,,,,555,"ACIDS, CHLORINATED, GC, ELCAPDET",CHLORINATED ACIDS - GAS CHROMATOGRAPHY WITH AN ELECTRON CAPTURE DETECTOR
2077,PROPACHLOR,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2076,BUTACHLOR,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2070,DIELDRIN,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2045,METOLACHLOR,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2039,DI(2-ETHYLHEXYL) PHTHALATE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2035,DI(2-ETHYLHEXYL) ADIPATE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2595,METRIBUZIN,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2015,METHOXYCHLOR,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2010,BHC-GAMMA,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2042,HEXACHLOROCYCLOPENTADIENE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2274,HEXACHLOROBENZENE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2067,HEPTACHLOR EPOXIDE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2005,ENDRIN,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2959,CHLORDANE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2306,BENZO(A)PYRENE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2050,ATRAZINE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2051,LASSO,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2356,ALDRIN,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2020,TOXAPHENE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2037,SIMAZINE,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2326,PENTACHLOROPHENOL,,,,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2065,HEPTACHLOR,0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2075,PARA-PARA DDT,0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2069,PARA-PARA DDE,0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2071,PARA-PARA DDD,0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2241,2-METHYLNAPHTHALENE,0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2266,"2,6-DINITROTOLUENE",0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2270,"2,4-DINITROTOLUENE",0,0,0,525.2,"ORGANICS, GC/MS, LIQ/SOLEXT, CAPCOLUMN",ORGANIC COMPOUNDS IN DRINKING WATER BY LIQUID SOLID EXTRACTION AND CAPILLARY COLUMN GAS CHROMATOGRAPHY / MASS SPECTROMET
2067,HEPTACHLOR EPOXIDE,,,,508.1,"PESTICIDES, PCB, GC, MICROEXTRACT",ANALYSIS OF ORGANOHALIDE PESTICIDES AND COMMERCIAL POLYCHLORINATED BIPHENYL PRODUCTS IN WATER BY MICRO EXTRACTION AND GA
